waveform	[0]		[1]	
t0	14.09.2026  14:08:56		14.09.2026  14:08:56	
delta t	0,000100		0,000100	

time[0]	Y[0]	time[1]	Y[1]
14.09.2026  14:08:56	-1,068975E-3	14.09.2026  14:08:56	-1,787655E+0
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-1,727748E+0
14.09.2026  14:08:56	-1,391056E-3	14.09.2026  14:08:56	-1,668485E+0
14.09.2026  14:08:56	-2,035219E-3	14.09.2026  14:08:56	-1,606967E+0
14.09.2026  14:08:56	-1,068975E-3	14.09.2026  14:08:56	-1,543517E+0
14.09.2026  14:08:56	-2,035219E-3	14.09.2026  14:08:56	-1,477813E+0
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-1,418550E+0
14.09.2026  14:08:56	-1,068975E-3	14.09.2026  14:08:56	-1,357032E+0
14.09.2026  14:08:56	-1,068975E-3	14.09.2026  14:08:56	-1,286496E+0
14.09.2026  14:08:56	-1,391056E-3	14.09.2026  14:08:56	-1,227555E+0
14.09.2026  14:08:56	-1,068975E-3	14.09.2026  14:08:56	-1,158630E+0
14.09.2026  14:08:56	-1,391056E-3	14.09.2026  14:08:56	-1,093247E+0
14.09.2026  14:08:56	-2,035219E-3	14.09.2026  14:08:56	-1,023034E+0
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-9,624823E-1
14.09.2026  14:08:56	-1,068975E-3	14.09.2026  14:08:56	-8,909802E-1
14.09.2026  14:08:56	-1,391056E-3	14.09.2026  14:08:56	-8,272081E-1
14.09.2026  14:08:56	-1,391056E-3	14.09.2026  14:08:56	-7,595710E-1
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-6,890351E-1
14.09.2026  14:08:56	-1,391056E-3	14.09.2026  14:08:56	-6,146343E-1
14.09.2026  14:08:56	-1,391056E-3	14.09.2026  14:08:56	-5,498959E-1
14.09.2026  14:08:56	-1,068975E-3	14.09.2026  14:08:56	-4,822588E-1
14.09.2026  14:08:56	-2,035219E-3	14.09.2026  14:08:56	-4,120450E-1
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-3,476287E-1
14.09.2026  14:08:56	-1,391056E-3	14.09.2026  14:08:56	-2,774150E-1
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-2,088116E-1
14.09.2026  14:08:56	-4,248114E-4	14.09.2026  14:08:56	-1,385978E-1
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-7,257109E-2
14.09.2026  14:08:56	-1,068975E-3	14.09.2026  14:08:56	-3,323546E-3
14.09.2026  14:08:56	-1,068975E-3	14.09.2026  14:08:56	6,238110E-2
14.09.2026  14:08:56	-1,068975E-3	14.09.2026  14:08:56	1,335611E-1
14.09.2026  14:08:56	-1,068975E-3	14.09.2026  14:08:56	1,966891E-1
14.09.2026  14:08:56	8,635150E-4	14.09.2026  14:08:56	2,681912E-1
14.09.2026  14:08:56	9,559718E-3	14.09.2026  14:08:56	3,367946E-1
14.09.2026  14:08:56	3,500416E-2	14.09.2026  14:08:56	3,992785E-1
14.09.2026  14:08:56	7,236563E-2	14.09.2026  14:08:56	4,665935E-1
